date,value,inverted_pct
2000-01-01,169.3,0.005906674542232723
2000-02-01,170.0,0.0058823529411764705
2000-03-01,171.0,0.005847953216374269
2000-04-01,170.9,0.005851375073142188
2000-05-01,171.2,0.0058411214953271035
2000-06-01,172.2,0.005807200929152149
2000-07-01,172.7,0.005790387955993052
2000-08-01,172.7,0.005790387955993052
2000-09-01,173.6,0.00576036866359447
2000-10-01,173.9,0.005750431282346175
2000-11-01,174.2,0.0057405281285878304
2000-12-01,174.6,0.00572737686139748
2001-01-01,175.6,0.0056947608200455585
2001-02-01,176.0,0.005681818181818182
2001-03-01,176.1,0.0056785917092561046
2001-04-01,176.4,0.005668934240362812
2001-05-01,177.3,0.0056401579244218835
2001-06-01,177.7,0.005627462014631402
2001-07-01,177.4,0.005636978579481398
2001-08-01,177.4,0.005636978579481398
2001-09-01,178.1,0.005614823133071308
2001-10-01,177.6,0.005630630630630631
2001-11-01,177.5,0.005633802816901409
2001-12-01,177.4,0.005636978579481398
2002-01-01,177.7,0.005627462014631402
2002-02-01,178.0,0.0056179775280898875
2002-03-01,178.5,0.0056022408963585435
2002-04-01,179.3,0.005577244841048522
2002-05-01,179.5,0.005571030640668524
2002-06-01,179.6,0.005567928730512249
2002-07-01,180.0,0.005555555555555556
2002-08-01,180.5,0.00554016620498615
2002-09-01,180.8,0.0055309734513274336
2002-10-01,181.2,0.005518763796909493
2002-11-01,181.5,0.005509641873278237
2002-12-01,181.8,0.0055005500550055
2003-01-01,182.6,0.00547645125958379
2003-02-01,183.6,0.0054466230936819175
2003-03-01,183.9,0.00543773790103317
2003-04-01,183.2,0.005458515283842795
2003-05-01,182.9,0.005467468562055768
2003-06-01,183.1,0.005461496450027308
2003-07-01,183.7,0.005443658138268917
2003-08-01,184.5,0.005420054200542005
2003-09-01,185.1,0.005402485143165856
2003-10-01,184.9,0.005408328826392645
2003-11-01,185.0,0.005405405405405406
2003-12-01,185.5,0.005390835579514825
2004-01-01,186.3,0.0053676865271068165
2004-02-01,186.7,0.005356186395286557
2004-03-01,187.1,0.005344735435595938
2004-04-01,187.4,0.005336179295624333
2004-05-01,188.2,0.005313496280552604
2004-06-01,188.9,0.005293806246691371
2004-07-01,189.1,0.005288207297726071
2004-08-01,189.2,0.005285412262156448
2004-09-01,189.8,0.005268703898840885
2004-10-01,190.8,0.0052410901467505235
2004-11-01,191.7,0.005216484089723527
2004-12-01,191.7,0.005216484089723527
2005-01-01,191.6,0.005219206680584551
2005-02-01,192.4,0.005197505197505197
2005-03-01,193.1,0.005178663904712584
2005-04-01,193.7,0.005162622612287042
2005-05-01,193.6,0.005165289256198347
2005-06-01,193.7,0.005162622612287042
2005-07-01,194.9,0.00513083632632119
2005-08-01,196.1,0.005099439061703213
2005-09-01,198.8,0.005030181086519115
2005-10-01,199.1,0.005022601707684581
2005-11-01,198.1,0.005047955577990914
2005-12-01,198.1,0.005047955577990914
2006-01-01,199.3,0.005017561465127948
2006-02-01,199.4,0.0050150451354062184
2006-03-01,199.7,0.005007511266900351
2006-04-01,200.7,0.004982561036372696
2006-05-01,201.3,0.004967709885742673
2006-06-01,201.8,0.004955401387512388
2006-07-01,202.9,0.0049285362247412515
2006-08-01,203.8,0.004906771344455348
2006-09-01,202.8,0.004930966469428008
2006-10-01,201.9,0.004952947003467063
2006-11-01,202.0,0.0049504950495049506
2006-12-01,203.1,0.004923682914820286
2007-01-01,203.437,0.004915526674105497
2007-02-01,204.226,0.004896536190298982
2007-03-01,205.288,0.004871205331047114
2007-04-01,205.904,0.004856632216955475
2007-05-01,206.755,0.004836642402843946
2007-06-01,207.234,0.004825463003175154
2007-07-01,207.603,0.00481688607582742
2007-08-01,207.667,0.004815401580414798
2007-09-01,208.547,0.004795082163732875
2007-10-01,209.19,0.004780343228643817
2007-11-01,210.834,0.004743068006109071
2007-12-01,211.445,0.004729362245501194
2008-01-01,212.174,0.004713112822494744
2008-02-01,212.687,0.0047017448175017745
2008-03-01,213.448,0.00468498182227053
2008-04-01,213.942,0.004674164025763992
2008-05-01,215.208,0.0046466674101334525
2008-06-01,217.463,0.004598483420168028
2008-07-01,219.016,0.004565876465646345
2008-08-01,218.69,0.00457268279299465
2008-09-01,218.877,0.004568776070578453
2008-10-01,216.995,0.004608401115233069
2008-11-01,213.153,0.004691465754645724
2008-12-01,211.398,0.0047304137219841245
2009-01-01,211.933,0.0047184723473928086
2009-02-01,212.705,0.0047013469358971344
2009-03-01,212.495,0.004705993082190169
2009-04-01,212.709,0.004701258526907653
2009-05-01,213.022,0.004694350818225348
2009-06-01,214.79,0.004655710228595372
2009-07-01,214.726,0.004657097882883303
2009-08-01,215.445,0.00464155584952076
2009-09-01,215.861,0.00463261080046882
2009-10-01,216.509,0.004618745641058801
2009-11-01,217.234,0.004603330970290102
2009-12-01,217.347,0.00460093767109737
2010-01-01,217.488,0.004597954829691753
2010-02-01,217.281,0.004602335224893111
2010-03-01,217.353,0.004600810662838792
2010-04-01,217.403,0.004599752533313708
2010-05-01,217.29,0.004602144599383313
2010-06-01,217.199,0.004604072762765942
2010-07-01,217.605,0.004595482640564325
2010-08-01,217.923,0.0045887767697764805
2010-09-01,218.275,0.004581376703699461
2010-10-01,219.035,0.004565480402675372
2010-11-01,219.59,0.004553941436313129
