date,value,homes_per_10k
2001-04-01,179000,0.055865921787709494
2001-07-01,172500,0.057971014492753624
2001-10-01,171100,0.058445353594389245
2002-01-01,188700,0.052994170641229466
2002-04-01,187200,0.053418803418803416
2002-07-01,178100,0.05614823133071308
2002-10-01,190100,0.052603892688058915
2003-01-01,186000,0.053763440860215055
2003-04-01,191800,0.05213764337851929
2003-07-01,191900,0.05211047420531527
2003-10-01,198800,0.05030181086519115
2004-01-01,212700,0.047014574518100614
2004-04-01,217600,0.04595588235294118
2004-07-01,213500,0.0468384074941452
2004-10-01,228800,0.043706293706293704
2005-01-01,232500,0.043010752688172046
2005-04-01,233700,0.04278990158322636
2005-07-01,236400,0.04230118443316413
2005-10-01,243600,0.041050903119868636
2006-01-01,247700,0.04037141703673799
2006-04-01,246300,0.04060089321965083
2006-07-01,235600,0.042444821731748725
2006-10-01,245400,0.040749796251018745
2007-01-01,257400,0.03885003885003885
2007-04-01,242200,0.04128819157720892
2007-07-01,241800,0.0413564929693962
2007-10-01,238400,0.04194630872483222
2008-01-01,233900,0.04275331338178709
2008-04-01,235300,0.042498937526561836
2008-07-01,226500,0.04415011037527594
2008-10-01,222500,0.0449438202247191
2009-01-01,208400,0.04798464491362764
2009-04-01,220900,0.04526935264825713
2009-07-01,214300,0.04666355576294914
2009-10-01,219000,0.045662100456621
2010-01-01,222900,0.04486316733961418
2010-04-01,219500,0.04555808656036447
2010-07-01,224100,0.04462293618920125
2010-10-01,224300,0.04458314757021846
2011-01-01,226900,0.044072278536800354
2011-04-01,228100,0.04384042086804033
2011-07-01,223500,0.0447427293064877
2011-10-01,221100,0.045228403437358664
2012-01-01,238400,0.04194630872483222
2012-04-01,238700,0.04189359028068706
2012-07-01,248800,0.04019292604501608
2012-10-01,251700,0.03972983710766786
2013-01-01,258400,0.03869969040247678
2013-04-01,268100,0.03729951510630362
2013-07-01,264800,0.0377643504531722
2013-10-01,273600,0.03654970760233918
2014-01-01,275200,0.036337209302325583
2014-04-01,288000,0.034722222222222224
2014-07-01,281000,0.03558718861209965
2014-10-01,298900,0.03345600535296086
2015-01-01,289200,0.034578146611341634
2015-04-01,289100,0.03459010722933241
2015-07-01,295800,0.03380662609871535
2015-10-01,302500,0.03305785123966942
2016-01-01,299800,0.0333555703802535
2016-04-01,306000,0.032679738562091505
2016-07-01,303800,0.032916392363396975
2016-10-01,310900,0.0321646831778707
2017-01-01,313100,0.031938677738741615
2017-04-01,318200,0.03142677561282212
2017-07-01,320500,0.031201248049921998
2017-10-01,337900,0.02959455460195324
2018-01-01,331800,0.030138637733574444
2018-04-01,315600,0.031685678073510776
2018-07-01,330900,0.030220610456331218
2018-10-01,322800,0.030978934324659233
2019-01-01,313000,0.03194888178913738
2019-04-01,322500,0.031007751937984496
2019-07-01,318400,0.031407035175879394
2019-10-01,327100,0.03057169061449098
2020-01-01,329000,0.030395136778115502
2020-04-01,317100,0.0315357931251971
2020-07-01,327900,0.030497102775236352
2020-10-01,338600,0.029533372711163616
2021-01-01,355000,0.028169014084507043
2021-04-01,367800,0.027188689505165852
2021-07-01,395200,0.025303643724696356
2021-10-01,414000,0.024154589371980676
2022-01-01,413500,0.02418379685610641
2022-04-01,437700,0.022846698652044778
2022-07-01,438000,0.0228310502283105
2022-10-01,442600,0.022593764121102575
2023-01-01,429000,0.023310023310023312
2023-04-01,418500,0.023894862604540025
2023-07-01,435400,0.022967386311437757
2023-10-01,423200,0.023629489603024575
2024-01-01,426800,0.023430178069353328
2024-04-01,414500,0.024125452352231604
2024-07-01,415300,0.024078979051288224
2024-10-01,419300,0.023849272597185785
2025-01-01,423100,0.02363507445048452
2025-04-01,410800,0.024342745861733205
